Vet. approval No.	Name of establishment	Region	Adress	Type of activity	Foreign/ domestic trade	adr2	lat	lng
68-068P	"ŽŪK ""Rešketėnai"" Šateikių pieno supirkimo punktas"	Plungės raj.	Šateikių k., Šateikių sen.	Milk collection point, PSP	 EU	Šateikių k., Šateikių sen. , Plungės raj. , Lithuania	55,9884097	21,6861423
68-07	"UAB ""Baltic Food Partners"""	Plungės raj.	Birutės skg. 8, Macenių k.	Fishery establishments, PP	 EU	Birutės skg. 8, Macenių k. , Plungės raj. , Lithuania	55,9130464	21,8376933
68-08	"UAB ""Plungės kooperatinė prekyba"""	Plungės raj.	Birutės g. 50	Fishery establishments, PP;CS	 EU  RU	Birutės g. 50 , Plungės raj. , Lithuania	55,9172451	21,804521
68-09	"KB ""Baltic egg production"""	Plungės raj.	Birutės skg. 5, Macenių k.	Egg establishments, LEP;PP	 EU	Birutės skg. 5, Macenių k. , Plungės raj. , Lithuania	55,9130464	21,8376933
68-10	"UAB ""Plungės šaltis"""	Plungės raj.	Stoties 9	Fishery establishments, PP;CS	 EU	Stoties 9 , Plungės raj. , Lithuania	55,9217811	21,8319254
68-100M	"UAB ""Lekemė"""	Plungės raj.	Lekemės k., Stalgėnų k.	The producer of small quantities, mg	domestic trade	Lekemės k., Stalgėnų k. , Plungės raj. , Lithuania	55,8269829	21,8828091
68-11	"UAB ""Vičiūnai ir partneriai"""	Plungės raj.	Birutės g. 48, Plungė	Fishery establishments, PP	 EU  RU	Birutės g. 48, Plungė , Plungės raj. , Lithuania	55,9171733	21,8065869
68-12	Loretos Stuopelienės individuali veikla	Plungės raj.	Liepų g. 3, Stanelių k., Paukštakių sen.	Meat, CP;MM;MP;PP,mp	 EU	Liepų g. 3, Stanelių k., Paukštakių sen. , Plungės raj. , Lithuania	55,9030511	21,8570246
68-13	"UAB ""Hantera"""	Plungės raj.	Paežerės g. 5, Paluokės k., Paukštakių s	Farms, SH,GHE,fM,CP;CP;PP,mp	 EU	Paežerės g. 5, Paluokės k., Paukštakių s , Plungės raj. , Lithuania	56,048082	21,889564
68-14	Donato Vaicikausko individuali veikla	Plungės raj.	Minijos g. 31c, Juodeikių k., Nausodžio	Meat, CP	 EU	Minijos g. 31c, Juodeikių k., Nausodžio , Plungės raj. , Lithuania	55,9110774	21,8497541
68-70	"UAB ""Vyturys"""	Plungės raj.	Vyturio g. 2, Kaušėnų k., Nausodžio sen.	Egg establishments, EPC	 EU	Vyturio g. 2, Kaušėnų k., Nausodžio sen. , Plungės raj. , Lithuania	55,667394	21,1908843
69-001 V	"UAB ""Osmedas"""	Prienų raj.	Vytauto g. 12, Prienai	Butchers, CP,MM,MP	domestic trade	Vytauto g. 12, Prienai , Prienų raj. , Lithuania	54,6329296	23,9479723
69-001P	UAB Marijampolės pieno konservai Prienų padalinys	Prienų raj.	Kęstučio g. 83	Milk collection center, CC	 EU	Kęstučio g. 83 , Prienų raj. , Lithuania	54,6477891	23,9645058
69-002Ž	"UAB""Osmedas"""	Prienų raj.	Vytauto g. 26, Prienai	The producer of small quantities,	domestic trade	Vytauto g. 26, Prienai , Prienų raj. , Lithuania	54,6348497	23,9466179
69-003 P	Jurgio Pažėros ūkis	Prienų raj.	Padrečių k., Veiverių sen., Prienų r.	The producer of small quantities,	domestic trade	Padrečių k., Veiverių sen., Prienų r. , Prienų raj. , Lithuania	54,7265403	23,7471164
69-004 V	Aldonos Jakubauskienės ind.v	Prienų raj.	Vytauto g. 23 Jieznas	Butchers, CP;MM;MP	domestic trade	Vytauto g. 23 Jieznas , Prienų raj. , Lithuania	54,5999715	24,1687443
69-004P	"UAB ""Marijampolės pieno konservai"" ""Balbieriškis"" p.s.p."	Prienų raj.	Balbieriškio mst. , Balbieriškio sen.	Milk collection point,	 EU	Balbieriškio mst. , Balbieriškio sen. , Prienų raj. , Lithuania	54,515886	23,8905028
69-005	"AB ""Išlaužo žuvis"""	Prienų raj.	Išlaužo k., Išlaužo sen., Prienų r.	The producer of small quantities,	domestic trade	Išlaužo k., Išlaužo sen., Prienų r. , Prienų raj. , Lithuania	54,7376252	23,9281945
69-007 P	Vaivos Buliauskienės ūkis	Prienų raj.	Gerulių k.,Blbieriškio sen.,Prienų r.,	The producer of small quantities,	domestic trade	Gerulių k.,Blbieriškio sen.,Prienų r., , Prienų raj. , Lithuania	54,5153512	23,896906
69-008P	Arūno Bacvinkos ūkis	Prienų raj.	Skersabalio k., N. Ūtos sen.,Prienų r.	The producer of small quantities,	domestic trade	Skersabalio k., N. Ūtos sen.,Prienų r. , Prienų raj. , Lithuania	54,6089919	23,817995
69-01	"AB ""Išlaužo žuvis"""	Prienų raj.	Išlaužo k., Išlaužo sen.	Fishery establishments, PP;FFPP,a	 EU	Išlaužo k., Išlaužo sen. , Prienų raj. , Lithuania	54,7416679	23,928609
69-010 P	Danutės Gerulienės	Prienų raj.	Klebiškio k.,Šilavoto sen.,Prienų r.,	The producer of small quantities,	domestic trade	Klebiškio k.,Šilavoto sen.,Prienų r., , Prienų raj. , Lithuania	54,6677999	23,8401699
69-011 P	Algirdo Griškos ūkis	Prienų raj.	Pošvenčio k.,Ašmintos sen.,Prinų r.,	The producer of small quantities,	domestic trade	Pošvenčio k.,Ašmintos sen.,Prinų r., , Prienų raj. , Lithuania	54,638358	23,9468009
69-011P	"AB""Pieno žvaigždės"" fil.""Kauno pienas"",""Mozūriškių"" p.s.p."	Prienų raj.	Juodbūdžio k., Veiverių sen.,	Milk collection point,	 EU	Juodbūdžio k., Veiverių sen., , Prienų raj. , Lithuania	54,7381339	23,750795
69-012 P	Astos Štefanės ūkis	Prienų raj.	Šaltupio k.,Išlaužo sen.,Prienų r	The producer of small quantities,	domestic trade	Šaltupio k.,Išlaužo sen.,Prienų r , Prienų raj. , Lithuania	54,7347029	23,9457539
69-013 V	"UAB ""Norfos mažmena"""	Prienų raj.	Revuonos g. 66A, Prienai	Butchers,	domestic trade	Revuonos g. 66A, Prienai , Prienų raj. , Lithuania	54,643182	23,9446921
69-013P	"UAB ""Marijampolės pieno konservai"" ""Skriaudžių"" p.s.p."	Prienų raj.	Skriaudžių k., Veiverių sen.	Milk collection point,	 EU	Skriaudžių k., Veiverių sen. , Prienų raj. , Lithuania	54,7440065	23,66556
69-014 Ž	"UAB ""Osmedas"""	Prienų raj.	Vytauto g. 12, Prienai	The producer of small quantities,	domestic trade	Vytauto g. 12, Prienai , Prienų raj. , Lithuania	54,6329296	23,9479723
69-015 Ž	"ŽŪB ""Nemuno prekyba"""	Prienų raj.	Vytauto 35, Jieznas, Prienų rajonas	The producer of small quantities,	domestic trade	Vytauto 35, Jieznas, Prienų rajonas , Prienų raj. , Lithuania	54,600362	24,1673182
69-016 M	Ūkininko Juozo Burbulevičiaus ūkis	Prienų raj.	Giniūnų k., Ašmintos sen. Prienų r.	The producer of small quantities,	domestic trade	Giniūnų k., Ašmintos sen. Prienų r. , Prienų raj. , Lithuania	54,6848524	24,0026673
69-017 P	Danutės Gecevičienės ūkis	Prienų raj.	Kalveliškių k.,Veiverių sen.,Prienų r.,	The producer of small quantities,	domestic trade	Kalveliškių k.,Veiverių sen.,Prienų r., , Prienų raj. , Lithuania	54,7265403	23,7471164
69-018P	Rūtos Aliukonienės ūkis	Prienų raj.	Margininkų k., Pakuonio sen., Prienų r.	The producer of small quantities,	domestic trade	Margininkų k., Pakuonio sen., Prienų r. , Prienų raj. , Lithuania	54,7109086	24,0033143
69-019P	Juozo Vaitkevičiaus ūkis	Prienų raj.	Strielčių k.,Ašmintos sen.,	The producer of small quantities,	domestic trade	Strielčių k.,Ašmintos sen., , Prienų raj. , Lithuania	54,671309	23,9587009
69-02	"UAB ""Mėsos kraitė"""	Prienų raj.	Žvejų g. 30, Išlaužo k., Išlaužo sen.	Meat, CP;MP;PP,mp	 EU	Žvejų g. 30, Išlaužo k., Išlaužo sen. , Prienų raj. , Lithuania	54,740528	23,922858
69-021P	"KB ""Lietuviškas pienelis"" ""Piiakalnio"" pieno sup. punktas"	Prienų raj.	Lelionių k., Stakliškių sen.,	Milk collection point,	 EU	Lelionių k., Stakliškių sen., , Prienų raj. , Lithuania	54,5706819	24,3526
69-022P	"UAB ""Marijampolės pieno konservai"" ""Strielčių"" p.s.p."	Prienų raj.	Strielčių k., Ašmintos sen.	Milk collection point,	 EU	Strielčių k., Ašmintos sen. , Prienų raj. , Lithuania	54,671309	23,9587009
69-023P	"UAB ""Marijampolės pieno konservai"" ""Stakliškių"" p.s.p."	Prienų raj.	Stakliškių k., Stakliškių sen.	Milk collection point,	 EU	Stakliškių k., Stakliškių sen. , Prienų raj. , Lithuania	54,590801	24,3234359
69-024 P	Roberto Kriaučiūno ūkis	Prienų raj.	Strielčių k.,Ašmintos sen., Prienų r.,	The producer of small quantities,	domestic trade	Strielčių k.,Ašmintos sen., Prienų r., , Prienų raj. , Lithuania	54,671309	23,9587009
69-026V	"UAB ""Palink"""	Prienų raj.	Stadiono g. 2, Prienai	Butchers,	domestic trade	Stadiono g. 2, Prienai , Prienų raj. , Lithuania	54,6424584	23,9500452
69-028Ž	"AB ""Išlaužo žuvis"""	Prienų raj.	Išlaužo k., Išlaužo sen., Prienų rajonas	The producer of small quantities,	domestic trade	Išlaužo k., Išlaužo sen., Prienų rajonas , Prienų raj. , Lithuania	54,7376252	23,9281945
69-029P	"KB""Dzūkijos pienas"" ""Užuguosčio"" p.s.p."	Prienų raj.	Užuguosčio k., Stakliškių sen.	Milk collection point,	 EU	Užuguosčio k., Stakliškių sen. , Prienų raj. , Lithuania	54,6234324	24,3899714
69-03	Ūkininko Juozo Burbulevičiaus ūkis	Prienų raj.	Giniūnų k., Ašmintos sen,	Meat, SH,P	 EU	Giniūnų k., Ašmintos sen, , Prienų raj. , Lithuania	54,6848524	24,0026673
69-033P	"AB""Pieno žvaigždės"" fil.""Kauno pienas"", ""Veiverių"" p.s.p."	Prienų raj.	Veiverių mst. Veiverių sen.	Milk collection point,	 EU	Veiverių mst. Veiverių sen. , Prienų raj. , Lithuania	54,766564	23,7290239
69-034P	"AB""Pieno žvaigždės"" fil.""Kauno pienas"",""Liepabūdžio"" p.s.p."	Prienų raj.	Naujojo Klebiškio k., Veuverių sen.	Milk collection point,	 EU	Naujojo Klebiškio k., Veuverių sen. , Prienų raj. , Lithuania	54,6677999	23,8401699
69-036P	"UAB ""Pieno Upės"", ""Uosos"" pieno sup.punktas"	Prienų raj.	Jiestrakio k., Šilavoto sen.	Milk collection point,	 EU	Jiestrakio k., Šilavoto sen. , Prienų raj. , Lithuania	54,6344929	23,6985149
69-037P	"UAB ""Pieno upės"", ""Paprūdžių"" pieno sup. punktas"	Prienų raj.	Paprūdžių k., Balbieriškio sen.	Milk collection point,	 EU	Paprūdžių k., Balbieriškio sen. , Prienų raj. , Lithuania	54,566565	23,855213
69-04	"UAB ""Miglūnas"""	Prienų raj.	Liepaloto k, Ašmintos sen.	Meat, MM;MP;PP;mp	 EU	Liepaloto k, Ašmintos sen. , Prienų raj. , Lithuania	54,6785899	23,944277
69-041P	"AB""Pieno žvaigždės"" fil.""Kauno pienas"",""Virkininkų"" p.s.p."	Prienų raj.	Virkininkų k., Stakliškių sen.	Milk collection point,	 EU	Virkininkų k., Stakliškių sen. , Prienų raj. , Lithuania	54,6563804	24,3095721
69-042P	"AB""Pieno žvaigždės"" fil.""Kauno pienas"",""Kampinių"" p.s.p."	Prienų raj.	Skriaudžių k., Veiverių sen.	Milk collection point,	 EU	Skriaudžių k., Veiverių sen. , Prienų raj. , Lithuania	54,7440065	23,66556
69-044P	"AB""Pieno žvaigždės"" fil.""Kauno pienas"",""Šiauliškių"" p.s.p."	Prienų raj.	Šiauliškių k., Išlaužo sen.	Milk collection point,	 EU	Šiauliškių k., Išlaužo sen. , Prienų raj. , Lithuania	54,6759729	23,8772439
69-046P	"AB""Rokiškio sūris"", ""Jiestrakio"" pieno sup.punktas"	Prienų raj.	Jiestrakio k., Šilavoto sen.	Milk collection point,	 EU	Jiestrakio k., Šilavoto sen. , Prienų raj. , Lithuania	54,6344929	23,6985149
69-048P	"KB""Dzūkijos pienas"" ""Paprūdžių"" pieno sup. punktas"	Prienų raj.	Paprūdžių k., Balbieriškio sen.	Milk collection point,	 EU	Paprūdžių k., Balbieriškio sen. , Prienų raj. , Lithuania	54,566565	23,855213
69-051P	"UAB ""Marijampolės pieno konservai"",""Jiezno"" p.s.p."	Prienų raj.	Jiezno mst., Jiezno sen.	Milk collection point,	 EU	Jiezno mst., Jiezno sen. , Prienų raj. , Lithuania	54,5980696	24,1745149
69-054P	"J.Vaitkevičienės IĮ ""Žagarių"" pieno sup. punktas"	Prienų raj.	Žagarių k., Balbieriškio sen.	Milk collection point,	 EU	Žagarių k., Balbieriškio sen. , Prienų raj. , Lithuania	54,474003	23,8777109
69-055P	"KB""Dzūkijos pienas"" ""Medžionių"" pieno sup. punktas"	Prienų raj.	Medžionių k., Stakliškių sen.	Milk collection point,	 EU	Medžionių k., Stakliškių sen. , Prienų raj. , Lithuania	54,659073	24,3428589
69-059P	"KB ""Lietuviškas pienelis"" ""Vyšniųnų"" pieno sup. punktas"	Prienų raj.	Vyšniūnų k., Stakliškių sen.	Milk collection point,	 EU	Vyšniūnų k., Stakliškių sen. , Prienų raj. , Lithuania	54,5373909	24,324532
69-063P	UAB Marijampoles pieno konservai Sodu pieno supirkimo punktas	Prienų raj.	Dukurnonių k., JIEZNO SEN.	Milk collection point,	 EU	Dukurnonių k., JIEZNO SEN. , Prienų raj. , Lithuania	54,6600829	24,218464
69-065P	"UAB ""Marijampolės pieno konservai"" ""Nemajūnų"" p.s.p."	Prienų raj.	Geležūnų k., Birštono sav.	Milk collection point,	 EU	Geležūnų k., Birštono sav. , Prienų raj. , Lithuania	54,5669664	24,0093098
69-067P	"UAB ""Marijampolės pieno konservai"" ""Klebiškio"" p.s.p."	Prienų raj.	Klebiškio k., Šilavoto sen.	Milk collection point,	 EU	Klebiškio k., Šilavoto sen. , Prienų raj. , Lithuania	54,6677999	23,8401699
69-068P	"KB""Dzūkijos pienas"" Gripiškių pieno su"	Prienų raj.	Gripiškių k., Stakliškių sen.	Milk collection point,	 EU	Gripiškių k., Stakliškių sen. , Prienų raj. , Lithuania	54,5618539	24,352829
69-10	UAB Gyvulių skerdykla	Prienų raj.	Verbyliškių k., Jiezno sen.	Meat, SH;B;O;CP	 EU	Verbyliškių k., Jiezno sen. , Prienų raj. , Lithuania	54,5759529	24,1714961
69-11	"UAB ""Dambravos žuvis"""	Prienų raj.	Dambravos k., Išlaužo sen.	Fishery establishments, PP	 EU	Dambravos k., Išlaužo sen. , Prienų raj. , Lithuania	54,708454	23,89194
71-001	"AB ""Rokiškio sūris"" Šniūraičių stac.p.p."	Radviliškio raj.	Radviliškio sen., Šniūraičių k. k.	Milk collection point,	 EU	Radviliškio sen., Šniūraičių k. k. , Radviliškio raj. , Lithuania	55,870355	23,496675
71-001P	Ūk. Tado Krapiko pieno ūkis	Radviliškio raj.		The producer of small quantities,	domestic trade	 , Radviliškio raj. , Lithuania	55,624255	23,5944536
71-002 V	MAXIMA LT, UAB	Radviliškio raj.	Gedimino g. 42 A	Butchers, CP,MM,MP	domestic trade	Gedimino g. 42 A , Radviliškio raj. , Lithuania	55,8123674	23,5488226
71-002P	Ritos Dirvinienės pieno ūkis	Radviliškio raj.	Liaudiškių k. Aukštelkų sen. Radviliškis	The producer of small quantities,	domestic trade	Liaudiškių k. Aukštelkų sen. Radviliškis , Radviliškio raj. , Lithuania	55,8108399	23,546487
71-003 V	"UAB ""Norfos mažmena"""	Radviliškio raj.	Vasario 16-osios g. 11, Radviliškis	Butchers, CP;MP;MM	domestic trade	Vasario 16-osios g. 11, Radviliškis , Radviliškio raj. , Lithuania	55,8070263	23,5410186
71-004	"AB ""Rokiškio sūris"" K. Gražionių stac.p.p."	Radviliškio raj.	Aukštelkų sen., K. Gražioniai	Milk collection point,	 EU	Aukštelkų sen., K. Gražioniai , Radviliškio raj. , Lithuania	55,848573	23,6102259
71-004 V	UAB Norfos mažmena	Radviliškio raj.	Taikos g. 9, Radviliškis	Butchers, CP;MP;MM	domestic trade	Taikos g. 9, Radviliškis , Radviliškio raj. , Lithuania	55,8007276	23,5620362
71-005 A	Vilando Bugenio ūkis	Radviliškio raj.	Paežerių g. 23, Kurklių k. Radviliškio r	The producer of small quantities,	domestic trade	Paežerių g. 23, Kurklių k. Radviliškio r , Radviliškio raj. , Lithuania	55,632685	23,40338
71-006 V	"UAB ""Norfos mažmena"""	Radviliškio raj.	Panevėžio g. 33, Šeduva	Butchers, CP;MM;MP	domestic trade	Panevėžio g. 33, Šeduva , Radviliškio raj. , Lithuania	55,7565757	23,7626288
71-01	Ūkininko F.Šlėvės šaltieji sandėliai	Radviliškio raj.	Velžių k.	Cold stores, CS	 EU	Velžių k. , Radviliškio raj. , Lithuania	55,7778509	23,6616969
71-010	"AB ""Pieno žvaigždės"" ""Pasvalio sūrinė"" Pušyno stac.p.p."	Radviliškio raj.	Radviliškio r. Papušinio k.	Milk collection point,	 EU	Radviliškio r. Papušinio k. , Radviliškio raj. , Lithuania		
71-016	"AB ""Rokiškio sūris""Utenos p.Sidabravo st.p.p."	Radviliškio raj.	Radviliškio r. Sidabravas	Milk collection point,	 EU	Radviliškio r. Sidabravas , Radviliškio raj. , Lithuania	55,696352	23,9299429
71-017	"AB ""Pieno žvaigždės"" ""Pasvalio sūrinė"" Grinkiškio stac.p.p."	Radviliškio raj.	Radviliškio r., Grinkiškio mstl.	Milk collection point,	 EU	Radviliškio r., Grinkiškio mstl. , Radviliškio raj. , Lithuania	55,5539429	23,6351609
71-019	"AB ""Rokiškio sūris""Utenos p.Vadaktų st.p.p."	Radviliškio raj.	Radviliškio r. Vadaktai	Milk collection point,	 EU	Radviliškio r. Vadaktai , Radviliškio raj. , Lithuania	55,634818	23,9907289
71-02	"AB ""Kiaulių veislininkystė"""	Radviliškio raj.	Jadvimpolio k.	Meat, SH;P;CP;MM	 EU	Jadvimpolio k. , Radviliškio raj. , Lithuania	55,6152169	23,7436409
71-021	"AB ""Rokiškio sūris"" Mėnaičių stac.p.p."	Radviliškio raj.	Šiaulėnų sen. Mėnaičių k.	Milk collection point, PSP	 EU	Šiaulėnų sen. Mėnaičių k. , Radviliškio raj. , Lithuania	55,6298519	23,555787
71-024	"UAB ""Sakela"""	Radviliškio raj.	Radviliškio r. Šiaulaičių k.	Milk collection point,	 EU	Radviliškio r. Šiaulaičių k. , Radviliškio raj. , Lithuania		
71-025	"AB ""Rokiškio sūris""Butėnų stac.p.p."	Radviliškio raj.	Šeduvos sen., Butėnų k.	Milk collection point,	 EU	Šeduvos sen., Butėnų k. , Radviliškio raj. , Lithuania	55,716428	23,8470839
71-026	"AB ""Rokiškio sūris"" Daugėlaičių PSP"	Radviliškio raj.	Radviliškio sen., Daugėlaičių k.	Milk collection point,	 EU	Radviliškio sen., Daugėlaičių k. , Radviliškio raj. , Lithuania	55,745857	23,499499
71-026	"AB ""Rokiškio sūris""Utenos p.Liutkiškių"	Radviliškio raj.	Radviliškio r. Liutkiškiai	Milk collection point,	 EU	Radviliškio r. Liutkiškiai , Radviliškio raj. , Lithuania	55,8108399	23,546487
71-027	"AB ""Rokiškio sūris""Spindulio stac.p.p."	Radviliškio raj.	Grinkiškio sen. Vaitiekūnų k.	Milk collection point,	 EU	Grinkiškio sen. Vaitiekūnų k. , Radviliškio raj. , Lithuania	55,497817	23,6447818
71-028	"AB ""Rokiškio sūris""Utenos p.Labučių p p"	Radviliškio raj.	Radviliškio r. Labučiai	Milk collection point,	 EU	Radviliškio r. Labučiai , Radviliškio raj. , Lithuania	55,8108399	23,546487
71-03	"UAB ""Darvėja"""	Radviliškio raj.	Žvejų g. 10, Šeduva	Other establishments, PP,sn	 EU	Žvejų g. 10, Šeduva , Radviliškio raj. , Lithuania	55,7481664	23,7693011
71-030	"AB ""Rokiškio sūris"" Grinkiškio stac.p.p."	Radviliškio raj.	Grinkiškio sen. Grinkiškis k.	Milk collection point,	 EU	Grinkiškio sen. Grinkiškis k. , Radviliškio raj. , Lithuania	55,5539429	23,6351609
71-032	"AB ""Rokiškio sūris"" Vedreikių stac.p.p."	Radviliškio raj.	Grinkiškio sen. Vedreikių k.	Milk collection point,	 EU	Grinkiškio sen. Vedreikių k. , Radviliškio raj. , Lithuania	55,5581313	23,5726445
71-033	"AB ""Rokiškio sūris""Šaukoto stac.p.p."	Radviliškio raj.	Šaukoto sen., Šaukotas	Milk collection point,	 EU	Šaukoto sen., Šaukotas , Radviliškio raj. , Lithuania	55,579643	23,4150081
71-036	"AB ""Rokiškio sūris"" Utenos p. Valatkonių p.p."	Radviliškio raj.	Radviliškio r. Valatkonių k.	Milk collection point,	 EU	Radviliškio r. Valatkonių k. , Radviliškio raj. , Lithuania		
71-037	"AB ""Pieno žvaigždės"" ""Pasvalio sūrinė"" Pašušvio stac.p.p."	Radviliškio raj.	Radviliškio sen., Pašušvio k.	Milk collection point,	 EU	Radviliškio sen., Pašušvio k. , Radviliškio raj. , Lithuania	55,583375	23,5966439
71-038	"AB ""Pieno žvaigždės"" ""Pasvalio sūrinė"" Kairėnų stac.p.p."	Radviliškio raj.	Radviliškio r. Kairėnų k.	Milk collection point,	 EU	Radviliškio r. Kairėnų k. , Radviliškio raj. , Lithuania	55,5136589	23,6685959
71-04	"UAB ""Šeduvos avininkystė"""	Radviliškio raj.	Pavartyčių k., Šeduvos sen.	Meat, SH,O	 EU	Pavartyčių k., Šeduvos sen. , Radviliškio raj. , Lithuania	55,772621	23,7226498
71-040	"AB ""Rokiškio sūris"""	Radviliškio raj.	Radviliškio r. Pašušvys	Milk collection point,	 EU	Radviliškio r. Pašušvys , Radviliškio raj. , Lithuania	55,583375	23,5966439
71-043	"AB ""Rokiškio sūris"" Daugėlaičių PSP"	Radviliškio raj.	Daugėlaičių k. Radviliškio sen.	Milk collection point,	 EU	Daugėlaičių k. Radviliškio sen. , Radviliškio raj. , Lithuania	55,745857	23,499499
71-046	"AB""Žemaitijos pienas"" Skėmių stac. p.p."	Radviliškio raj.	Radviliškio r. Skėmių mslt.	Milk collection point,	 EU	Radviliškio r. Skėmių mslt. , Radviliškio raj. , Lithuania	55,565884	23,7632479
71-047	"AB ""Žemaitijos pienas"" Pociūnėlių stac. p.p."	Radviliškio raj.	Radviliškio r. Pociūnėlių k.	Milk collection point,	 EU	Radviliškio r. Pociūnėlių k. , Radviliškio raj. , Lithuania	55,5696991	23,873199
71-048	"AB ""Pieno žvaigždės"" ""Pasvalio sūrinė"" Šaukoto stac.p.p."	Radviliškio raj.	Radviliškio r. Šaukoto k.	Milk collection point,	 EU	Radviliškio r. Šaukoto k. , Radviliškio raj. , Lithuania	55,579643	23,4150081
71-049	"AB ""Rokiškio sūris"" Kairėnų stac.p.p."	Radviliškio raj.	Grinkiškio sen. Kairėnų k.	Milk collection point,	 EU	Grinkiškio sen. Kairėnų k. , Radviliškio raj. , Lithuania	55,5136589	23,6685959
