Nº RGSEAA; Razón Social;Provincia/Localidad;lat;lng;Actividades;Especies;Otros Detalles
10.07511/CC;HERMANOS ALVARADO ARIAS S.L.;Cáceres/VALDEFUENTES;39.2737556;-6.126006;CP, PP;;MP
10.07512/CS;JAMONES PEMAR S.L.;Castellón/Castelló/BENAFER;39.9349547;-0.577643;PP;;MP
10.07518/VI;CARNICERIA CHARCUTERIA CARLOTA, S.C.;Araba/Álava/VITORIA-GASTEIZ;42.8463449;-2.6725146;CP, PP;;MP
10.07519/SS;OLABEN, S.L.;Gipuzkoa/ARETXABALETA;43.0359732;-2.5036785;CP;;
10.07523/CS;HERMANOS PAULO, S.L.;Castellón/Castelló/CALIG;40.4619719;0.3548686;RW, CP, MM, MP;;
10.07526/A;CARNE MAR ALICANTE S.L.;Alicante/Alacant/ALICANTE/ALACANT;38.37564915;-0.5314365255;CP;;
10.07528/LU;PEREZ RIELO PABLO;Lugo/POL;43.1497425;-7.3236053;PP;;MP
10.07531/SG;MARTIN CUESTA, S. A.;Segovia/GOMEZSERRACIN;41.2888663;-4.3263743;CP, PP;;MP
10.07547/MU;FRANCISCO GONZALEZ VALERO Y OTRA, C.B.;Murcia/JUMILLA;38.4734708;-1.3285448;CS, CP, PP;;MP
10.07549/BA;MONTANEGRA S.L.;Badajoz/NOGALES;38.5861454;-6.7493491;CS, RW, PP;;MP
10.07552/MA;GOMEZ GOMEZ, JUAN;Málaga/BENAOJAN;36.7196088;-5.2517437;PP;;MP
10.07554/A;MATADERO DE AVES ANTONIO GARCIA, S.L;Alicante/Alacant/FORMENTERA DEL SEGURA;38.0851143;-0.7459956;CP, PP;;
10.07555/SA;REDONDO IGLESIAS, S. A.;Salamanca/CANDELARIO;40.3317866;-5.7466575305;RW, CP, PP;;MP
10.07558/O;CORTE ARTOS, JOSE IGNACIO;Asturias/NAVA;43.3582216;-5.5056766;PP;;MP
10.07559/O;ALVAREZ GARCIA, JOSE RAMON;Asturias/OVIEDO;43.3533424;-5.8795142395;RW;;MP
10.07561/H;FALCON GONZALEZ, MARIA MERCEDES;Huelva/SANTA OLALLA DEL CALA;37.9066642;-6.2293168;PP;;MP
10.07563/GE;ESCORXADOR DEL RIPOLLES SA;Girona/RIPOLL;42.1982391;2.1932496;SH;P, B, C, O, S;
10.07568/VI;ROBREDO SAINZ DE BARANDA, JOSE;Araba/Álava/AMURRIO;43.0525066;-3.000896;PP;;MP
10.07569/TE;AGROALIMENTARIA DE TERUEL S.A;Teruel/MATA DE LOS OLMOS (LA);40.8656072;-0.5211404;CS, SH, CP, PP;P;MP, ST
10.07573/Z;HERMANOS LOSTAO BESCOS S.C.;Zaragoza/ZARAGOZA;41.6521342;-0.8809428;MM, MP, PP;;MP
10.07575/CS;DISTRIBUIDORA COMARCAL CARNICA, S.L. (DICOCAR, S.L.);Castellón/Castelló/VINAROS;40.4703992;0.4746076;RW, CP, MM, MP, PP;;MP
10.07576/SA;MARTIN COSME, S. L.;Salamanca/GUIJUELO;40.5575663;-5.6715735;PP;;MP
10.07577/SG;HOLGUERAS FARIÑA S.A.L.;Segovia/CAMPO DE SAN PEDRO;41.4294128;-3.5452403;PP;;MP
10.07583/SE;PIÑERO E HIJOS S.L.;Sevilla/ALMADEN DE LA PLATA;37.8736407;-6.0804954;PP;;MP
10.07593/V;PRECOCINADOS TIA TERESA, S.L.;Valencia/València/MASSAMAGRELL;39.5285576;-0.3850434;CP, MM, MP, PP;;MP
10.07594/CS;CASTELLONENSE DE GANADOS,S.L.;Castellón/Castelló/VINAROS;40.4703992;0.4746076;SH;P, B, C, O;
10.07599/TE;ELABORADOS LAS TORRES S.A.;Teruel/TERUEL;40.3436719;-1.1081939;CP, MM, MP, PP;;MP
10.07610/B;COMSALSER SA;Barcelona/CALLDETENES;41.9257651;2.2834318;PP;;MP
10.07612/B;BON EMBOTIT SL;Barcelona/CASTELLAR DEL VALLES;41.6138122;2.0875963;MM, MP, PP;;MP
10.07613/B;COMERCIAL CAHM SA;Barcelona/HOSPITALET DE LLOBREGAT (L');41.3598601;2.0997927;CS, RW;;MP
