code;# Bundesland;Name des Betriebs;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH2;CP2;SH3;CP3;GHE;CP4;MM;MP;MSM;PP;CC;PP2;CC2;PP3;CC3;PP4;CC4;PP5;CC5;PP6;EPC;LEP;PP7;AH;FV;ZV;FFPP;PP8;WM2;PC;DC;PP9;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;lat;lng
BB 61032;BB;Bizim Dönerproduktion und Fleischhandel GmbH;Friedhofsweg 1;12529 Schönefeld;;BB 61032;;X;;X;;B;;A;;;;;B, A;B, A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3980938;13.4474702
BB 61033;BB;SAHEB GmbH;Dorfstraße 29b;15479 Mittenwalde;;BB 61033;;X;;;;B, O;;A;;;;;B, O, A;B, A, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.2838792;13.5396344
BB 61034;BB;Landfleischerei Kranichturm Agrargenossenschaft Goßmar e.G.;Freesdorf 23;15926 Luckau;;BB 61034;;;;;B, O, P;B, O, P;;;;;;;;B, P, wA, wG, wU, O, wL;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.83383;13.7447201
BB 62001;BB;Privatfleischerei Gebrüder Arnold;Saathainer Straße  9;04910 Elsterwerda;;BB 62001;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.4943517;13.5037246
BB 62002;BB;Fleischerei Otto Kalex;Doberluger Straße  28;04938 Uebigau-Wahrenbrück;;BB 62002;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.5963205;13.3031438
BB 62003;BB;Fleischerei Egbert Baehr;Fermeswalder Straße 23;04916 Herzberg (Elster);;BB 62003;;;;;C, O, P;B, C, O, P;;A;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.6463;13.18997
BB 62004;BB;Agrargenossenschaft eG Dollenchen / Lieskau;Dorfstraße  19;03238 Lichterfeld-Schacksdorf;;BB 62004;;;;;B, P;B, O, P, C;;;R;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.6185886;13.8142571
BB 62005;BB;Ökohof Gotsgarten Beate Bechler;Hauptstraße  26;04895 Falkenberg;;BB 62005;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.5686256;13.2499088
BB 62006;BB;Roßschlächterei Alfred Christen;Neustädter Markt  6;04931 Mühlberg/Elbe;;BB 62006;;;;;S;S;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.432747;13.2141921
BB 62007;BB;Spanferkelservice -Schwein am Spieß - Frank Sandmann;Dorfstraße  47;04936 Lebusa;;BB 62007;;;;;P;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7961467;13.4240987
BB 62008;BB;Fleischerei Röhnert GbR;Luckauer Straße 58;03253 Doberlug-Kirchhain;;BB 62008;;;;;B, O, P;B, O, P;;;;;;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.64143;13.56898
BB 62009;BB;Schlachtbetrieb Ronny Zehmisch;Hainsche Straße 13;04924 Bad Liebenwerda;;BB 62009;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.5148942;13.3967195
BB 62011;BB;Landwirt Matthias Schnürpel;Horst 16;04916 Schönewalde;;BB 62011;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8176802;13.1635176
BB 62012;BB;Landfleischerei & Grillservice Detlef Lehmann;Lindenstraße  18;03249 Sonnewalde;;BB 62012;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.69071;13.71918
BB 62013;BB;Schmidt`s Einkaufscenter;Saathainer Straße  16;04932 Röderland;;BB 62013;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.4415087;13.450658
BB 62014;BB;Wildzerlege- und Handelsbetrieb Reiner Schülzke;Dorfstraße  33;04936 Schlieben;;BB 62014;;;;;;;;;fG;fG;wL, wU, wG, wA;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7678463;13.4664394
BB 62015;BB;Hirschfeld Fleisch & Wurstwaren GmbH;Alte Plessaer Straße  15;04932 Hirschfeld;;BB 62015;;;;;;B, P;A;;R;R;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.39547;13.61453
BB 62017;BB;Schäferei Andreas Hauswald;Kuhnerseestraße  24;04931 Mühlberg/Elbe;;BB 62017;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.43028;13.22481
BB 62019;BB;Fleischerei Hauptvogel;Akazienweg;03253 Doberlug-Kirchhain;;BB 62019;;;;;B, C, O, P;B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.6377519;13.5590989
BB 62020;BB;Geflügelhof Marzella Fröhlich;Berliner Straße 80;04916 Herzberg;;BB 62020;;;;;;;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7063844;13.242508
BB 62021;BB;Fleischerei Kloppe;Graunplatz  1;04924 Wahrenbrück;;BB 62021;;;;;;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.5497673;13.3640459
BB 62022;BB;Fleischerei Gebr. Bummel;Friedrich-List-Straße 14;04895 Falkenberg;;BB 62022;;;;;;B, P;;A, L;;;wA, wL, wU, wG;wA, wL, wU, wG;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.587601;13.2387315
BB 62023;BB;Fleischerei Karsten Müller;Hauptstraße  30;03246 Crinitz;;BB 62023;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7380718;13.7618879
BB 62025;BB;Schradenfrucht landw. Unternehmensges. mbH;Mittelweg  9;04932 Gröden;;BB 62025;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.4029773;13.5859476
BB 62026;BB;BON PASTAIO GmbH;Lindenstraße  51;04895 Falkenberg/Elster;;BB 62026;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;X;;;;;;;;;;51.5931739;13.2351691
BB 62030;BB;Landwirt Dietmar Ullrich;Reichenhainer Straße  34;04932 Röderland;;BB 62030;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.4612226;13.4600175
BB 62032;BB;Der Hopfgarten-Ökolandbau Karsten Riedel;Lindenstraße  10;03253 Schönborn;;BB 62032;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.5953865;13.5031215
BB 62033;BB;Heidehof - Siegfried Heide;Dorfstraße  28;04932 Röderland;;BB 62033;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.4604788;13.4287466
BB 62034;BB;GRÜNHAUS - Bereich ökologischer Landbau Elster Werkstätten;Prettiner Straße  1;04916 Herzberg (Elster);;BB 62034;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.64188;13.10248
BB 62035;BB;Bernd Häusler;Poleyer Straße  15;03238 Sallgast;;BB 62035;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.5870092;13.8486001
BB 62039;BB;Acet Süleyman;Horst Nr. 6;04916 Schönewalde;;BB 62039;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.8181721;13.1633515
BB 62040;BB;Ronny Lange;Osteroda 63;04916 Herzberg (Elster);;BB 62040;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;51.6745932;13.3053706
BB 62070;BB;ODW Frischprodukte GmbH, Milchwerk Elsterwerda;An den Kanitzen 7;04910 Elsterwerda;;BB 62070;;X;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;51.463;13.54353
BB 62071;BB;Landmolkerei Vinzenz Lorenz;Dorfstraße 61;04936 Lebusa;;BB 62071;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;51.7960649;13.4213647
BB 63001;BB;Birkenhof Perwenitz Fleischwaren GmbH;Alte Nauener Chaussee 2;14621 Schönwalde-Glien;;BB 63001;;X;X;;;B, O, P;;A;;;wL, wU, wG, wA;wA, wL, wU, wG;B, P;B, O, P, A, wA, wL, wU, wG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.64553;13.00046
BB 63003;BB;VINA Grillentenproduktion;MTS-Weg  4;14715 Milow;;BB 63003;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5087931;12.3108251
BB 63005;BB;Straußenhof GbR;Kleinderschauer Straße 7;16845 Großderschau;;BB 63005;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.79087;12.36272
BB 63006;BB;OHG SELGROS Cash & Carry GmbH & Co;Straße der Einheit 122-128;14612 Falkensee;;BB 63006;;;;;;S, B, O, P, C;;;;;;;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5544727;13.1017849
BB 63007;BB;Stutenmilchfarm Zur Grünen Oase;Zur Grünen Oase 1;14656 Brieselang OT Bredow;;BB 63007;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;52.589387;12.918033
BB 63008;BB;Havelländische Hofkäserei Steinbrecher;Neues Ende 14a;14715 Märkisch Luch;;BB 63008;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.5664752;12.5612834
BB 63010;BB;Schäferei Biermann;Feldweg  2;14621 Nauen;;BB 63010;;;;;O, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6195566;12.797817
BB 63012;BB;Hof Falkensee GmbH & Co. KG - Eierpackstelle;Dallgower Straße  1;14624 Dallgow-Döberitz;;BB 63012;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.5440718;13.0910895
BB 63014;BB;Rathenower Wurstproduktion;Schlachthausstraße 8;14712 Rathenow;;BB 63014;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.611497;12.3306846
BB 63015;BB;Schäferei Karsten Schulz;Am Gutshof  2;14656 Brieselang;;BB 63015;;;;;O, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5890532;12.9324317
BB 63016;BB;Landwirtschaftsbetrieb Enrico Folgart, Betriebsteil Schlachtstätte Ribbeck;Uhlenburger Weg  17;14641 Nauen;;BB 63016;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.62089;12.7513001
BB 63018;BB;Döberitzer Heide Galloways;Döberitzer Straße 29;14641 Wustermark;;BB 63018;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5592655;13.0832642
BB 63020;BB;Straußen Schulze;Dorfstraße 9;14715 Milower Land;;BB 63020;;;;;P;P;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.4956166;12.4044716
BB 63023;BB;Agrargenossenschaft Gülpe e.G.;Pareyer Straße 7;14715 Havelaue;;BB 63023;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.72294;12.2241
BB 63024;BB;Schulze Logistik Berlin GmbH;Duisburger Straße 1-3;14641 Wustermark;;BB 63024;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5536167;12.9759291
BB 63027;BB;SMP Döner Germany GmbH;Am Anger 28;14621 Schönwalde-Glien;;BB 63027;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6380722;13.0391625
BB 64002;BB;Gut Hohenfinow Fleischerei UG (haftungsbeschränkt);Eberswalder Str. 34;16259 Bad Freienwalde (Oder);;BB 64002;;;;;B, O, P, C;B, O, P, C;;;R;R;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7867751;14.0148791
BB 64003;BB;Fleischerei Höhne;Rotdornstraße 33;16269 Bliesdorf;;BB 64003;;;;;;;;;;;;;;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.69623;14.15538
BB 64004;BB;Fleischerei und Partyservice Thomas Voigt;Oderstraße  39;16259 Hohenwutzen;;BB 64004;;;;;;S, B, O, P, C;;A, L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.8378707;14.1184539
BB 64005;BB;Landfleischerei Richard Hochschild;Hauptstraße  1;16259 Bralitz;;BB 64005;;;;;;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.8334456;14.0046747
BB 64006;BB;Landfleischerei Dolgelin GmbH;Maxim-Gorki-Straße  6;15306 Lindendorf;;BB 64006;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.49691;14.4064
BB 64007;BB;Royal Hoang-Mai Grillenten Produktion;Frankfurter Chaussee  56;15370 Fredersdorf;;BB 64007;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.4949378;13.7573511
BB 64008;BB;Fleischerei Göldner;Rudolf-Breitscheid-Straße  2;15324 Letschin;;BB 64008;;;;;;S, B, O, P, C;;;;;wL, wU, wG, wA;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6451122;14.3612389
BB 64009;BB;Landfleischerei Auris;Karl-Marx-Straße 29;15320 Neutrebbin;;BB 64009;;;;;;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.66058;14.22875
BB 64010;BB;Fleischerei Andreas Herter;Neubarnimer Dorfstraße  84;15324 Letschin;;BB 64010;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.70699;14.30475
BB 64011;BB;Fleischerei und Schlachtbetrieb Bernd Jordan;Bruchmühler Straße  64;15370 Fredersdorf;;BB 64011;;;;;B, O, P, C;B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5401486;13.7585964
BB 64013;BB;Rittergut Komturei Lietzen GmbH & Co. KG;Lietzen Nord  38;15306 Lietzen;;BB 64013;;;;;;;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;31.12.2010;;52.48382;14.33523
BB 64014;BB;Fleischerei  Kaminski;Schulgartenstraße 2;16259 Altreetz;;BB 64014;;;;;B, O, P, C;B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.76434;14.16686
BB 64016;BB;DA-PHA Grillente GmbH;Handwerkerstraße 27-29;15366 Hoppegarten;;BB 64016;;;;;;;;;;;;;;A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.50553;13.63547
BB 64017;BB;Fleischerei André Ottlik;Petershagener Straße  2;15370 Fredersdorf;;BB 64017;;;;;;B, O, P, C;;A;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5204105;13.7548297
BB 64018;BB;WDM Bio-Fertigprodukte GmbH;Wasserstraße 10;15374 Müncheberg;;BB 64018;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.503032;14.1390248
BB 64019;BB;Hoffleischerei Mehlberg;Straße des Friedens 34;15306 Sachsendorf;;BB 64019;;;;;;S, B, C, O, P;;;;;;wA, wL, wU, wG;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5090172;14.4791217
BB 64020;BB;Vit Binh An GmbH;Handwerkerstraße 27 - 29;15366 Hoppegarten;;BB 64020;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.50553;13.63547
BB 64021;BB;Fleischerei Radtke;Friedenstraße 61;15366 Neuenhagen bei Berlin;;BB 64021;;;;;B, C, O, P;B, C, O, P;;;;;wL, wU, wG;wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5269369;13.6651738
BB 64022;BB;Schäferei Heinz Wutke;Leuenberger Str.;16259 Heckelberg-Brunow;;BB 64022;;;;;O;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7249481;13.8739352
BB 64023;BB;Wildhof Müncheberg;Florastr. 21;15374 Müncheberg;;BB 64023;;;;;;;;;;;wA, wL, wU, wG;wA, wL, wU, wG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5051581;14.1158032
BB 64051;BB;Hofkäserei des Ziegenhofes Zollbrücke;Zollbrücke 20;16259 Oderaue;;BB 64051;;;;;;;;;;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;52.78842;14.24088
BB 64052;BB;Geflügelhof Oderland GmbH;Homburgshöhe  1;16269 Wrietzen;;BB 64052;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;;;;;;;;;;;;;;;52.7030188;14.1213812
BB 64053;BB;BIOLAND Birkscher Geflügelhof;Diedersdorf  59;15306 Vierlinden;;BB 64053;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.50981;14.32678
BB 64054;BB;Geflügelhof Friedersdorf;Diedersdorfer Straße 8;15306 Vierlinden;;BB 64054;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.5303;14.36919
BB 64056;BB;Landwirtschaftsbetrieb Jakob Noack, Bergschäferei;Garziner Str. 7;15345 Garzau-Garzin;;BB 64056;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.5437582;14.0331429
BB 64057;BB;Milchschafhof Pimpinelle Quappendorf;Lindestr. 20;15320 Neuhardenberg;;BB 64057;;;;;;;;;;;;;;;;;;;;;;;;;;O;;;;;;;;;;;;;;;;;;52.61952;14.26571
BB 64060;BB;PelMan GmbH;Regenbogenallee 8;16259 Bad Freienwalde (Oder);;BB 64060;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O, S;;;;;;;;;;;;;;;;;;52.76081;14.09631
BB 65001;BB;Mozzarella Paolella GmbH;Groß-Ziethener Weg 2;16766 Kremmen;;BB 65001;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;Bei der Tierat für Milch handelt es sich um Wasserbüffel.;;;;52.75568;13.03325
BB 65003;BB;Voigt Fleischgroßhandel;Pappelallee  3;16761 Hennigsdorf;;BB 65003;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6184375;13.2033345
BB 65004;BB;Biomanufaktur Havelland;Havelring 17;16727 Velten;;BB 65004;;;;;;B, O, P, C;;A;;;;wL, wU, wG, wA;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6704796;13.2173063
BB 65005;BB;Geflügelhof Grawe;Dorfstraße 60a;16775 Gransee;;BB 65005;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0620444;13.1348443
BB 65007;BB;Lehrmolkerei MLUA Oranienburg;Sachsenhausener Straße 7b;16515 Oranienburg;;BB 65007;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.7594312;13.2426987
BB 65008;BB;Rhinlandfleischerei Staffelde GmbH;Groß Ziethener Weg 2;16766 Kremmen;;BB 65008;;;;;;B, P;;A;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.75568;13.03325
BB 65009;BB;Neulandfleischerei Bachhuber;Bahnhofstraße  4;16556 Borgsdorf;;BB 65009;;;;;;B, O, P;;;;;;;B, P;B;;mp;;X;;;;;;;;;;;;;;;;;;;;;;;;;;52.7144018;13.2753813
BB 65010;BB;Landfleischerei Klaus-Dieter Porschke;Dorfstraße 32;16775 Schönermark;;BB 65010;;;;;B, O, P;B, P;;;;;;;;B, P;;mp;;X;;;;;;;;;;;;;;;;;;;;;;;;;;53.00667;13.11694
BB 65011;BB;Straußenfarm Winkler;Häsener Weg  9;16775 Löwenberger Land;;BB 65011;;;;;O;O;;;R;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.90082;13.19691
BB 65012;BB;Fleischerei Ribbe;Schinkelplatz  2;16775 Gransee;;BB 65012;;;;;B, O, P;B, O, P;;;;;;wU;B, P;B, P;;mp;;X;;;;;;;;;;;;;;;;;;;;;;;;;;53.0078527;13.1552
BB 65013;BB;Vogler Delikatessen GmbH;Hauptstraße  16-17;16761 Hennigsdorf;;BB 65013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;52.63561;13.20877
BB 65014;BB;C+C Schaper GmbH;Sachsenhausener Straße  27;16515 Oranienburg;;BB 65014;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7637825;13.2435104
BB 65016;BB;Firma Volker, Feinkost-Delikatessen-Partyservice;Perwenitzer Chaussee  2;16727 Oberkrämer;;BB 65016;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7149011;13.0789447
BB 65017;BB;Richard's Wild Köstlichkeiten aus Bbg. Wäldern;Fürstenberger Straße 2;16775 Gransee OT Dannenwalde;;BB 65017;;;;;;;;;;;wU;wU;wU;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.0765176;13.1819181
BB 65018;BB;Wildhandel Marwitz;Breite Straße  35;16727 Oberkrämer;;BB 65018;;;;;;;;;;;wU;wU;;wU;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.6768884;13.1383546
BB 65019;BB;Biohof Falkenthal;Ausbau 1;16775 Löwenberger Land;;BB 65019;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;53.0310509;13.2161145
BB 65020;BB;Ralf Pawelczak;Gutengermendorf  3;16775 Löwenberger Land;;BB 65020;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.9339777;13.1778533
BB 65021;BB;LWB Andreas Manzel;Lychener Straße 15;16798 Fürstenberg/Havel;;BB 65021;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;53.14154;13.24451
BB 65023;BB;LSV Landwirtschafts GmbH;Dorfstraße 1;16727 Oberkrämer OT Schwante;;BB 65023;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.7297822;13.0924731
BB 65025;BB;Roest AGRO GmbH & Co. KG, Bauernmarkt-Molkerei-Oberhavel;Bauernmarktchaussee 10;16515 Oranienburg / OT Schmachtenhagen;;BB 65025;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;52.774797;13.335192
BB 65026;BB;DKB Stiftung Liebenberg GmbH;Parkweg 1a;16775 Löwenberger Land / OT Liebenberg;;BB 65026;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;52.8943138;13.2585133
BB 65028;BB;Landwirtschaftsbetrieb Stefan Gürgen Öko-Betrieb;Wensickendorfer Str 13;16515 Oranienburg OT Zehlendorf;;BB 65028;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.7804194;13.3886691
BB 65029;BB;Berliner Milch & Käse Manufaktur;Parkallee 1;16727 Velten;;BB 65029;;;;;;;;;;;;;;;;;;;;;;;;;;B, C, O;;;;;;;;;;;;;;;;;;52.665833;13.2036104
BB 65030;BB;Agrar GmbH Bergsdorf;Liebenberger Weg 12 c;16792 Zehdenick;;BB 65030;;;;;B;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.9201591;13.2550126
BB 66001;BB;Landwirtschaftsbetrieb Fritz Raddusch;Buschmühlenweg  15;03226 Vetschau/Spreewald;;BB 66001;;;;;S, B, O, P, C;S, B, O, P, C;;;;;wU;wU;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8305099;14.0475004
BB 66002;BB;Landboden Bronkow Agrodienste GmbH;Dorfstraße  32;03205 Bronkow;;BB 66002;;;;;S, B, O, P, C;S, B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.6687987;13.9138528
BB 66003;BB;Angerhof Bischdorf AG;Dorfstraße  14a;03222 Lübbenau;;BB 66003;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8634202;13.9905452
BB 66004;BB;Fleischerei Lehmann;Dresdner Straße  39;01945 Ruhland;;BB 66004;;;;;;B, O, P, C;;A, L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.45712;13.86463
BB 66005;BB;Landwirtschaftsbetrieb Kullick & Teichert GbR Agrardienste;Poststraße  4;03222 Lübbenau;;BB 66005;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8634397;13.9624236
BB 66006;BB;Landwirtschaftsbetrieb Axel Müller;Hauptstraße  26;01945 Schwarzbach;;BB 66006;;;;;B, O, P, C;B, O, P, C;;;;;wL, wU, wG, wA;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.4536475;13.9340123
BB 66007;BB;Schlachtstätte Wilfried Richter;Mühlenstraße  9;03229 Luckaitztal;;BB 66007;;;;;;B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.68678;13.96305
BB 66008;BB;Landwirtschaftsbetrieb Wolfgang Richter;Bolschwitzer Straße  46;03205 Calau;;BB 66008;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.7436776;13.9852106
BB 66009;BB;Thomas Schmidt;Dorfstraße  1;03229 Luckaitztal;;BB 66009;;;;;B, O, P, C;B, O, P, C;;;fG;fG;wL, wU, wG, wA;wL, wU, wG, wA;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.6846298;14.0250055
BB 66010;BB;Landwirtschaftsbetrieb Sven Schorten;Dorfstraße  27;03222 Lübbenau;;BB 66010;;;;;B, O, P, C;B, O, P, C;;;fG;fG;wL, wU, wG, wA;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8634638;13.9903543
BB 66011;BB;Landwirtschaftsbetrieb Gut Ogrosen - ökologischer Landbau;Dorfstraße 35;03226 Vetschau/Spreewald;;BB 66011;;;;;B, O, P, C;B, O, P, C;;;;;wL, wU, wG, wA;wL, wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.8208504;14.0986988
